OBJECTID,ADDRESS,OWNER1,OWNER2,BLDG_DESC,OPA_ID,LNIADDRESSKEY,COUNCILDISTRICT,ZONINGBASEDISTRICT,ZIPCODE,LAND_RANK,Shape__Area,Shape__Length
1,2508 CORAL ST,DUONG DEP THI,,VAC LAND RES < ACRE,311103400,97735,1,RSA-5,19125,0.5,128.3515625,58.9414789896506
2,1441 S FALLON ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,273036610,284084,3,RSA-5,19143,0.67,116.26953125,51.5213430864632
3,604 E LIPPINCOTT ST,MCIVOR JAMISA            ,,VAC LAND RES < ACRE,331017100,394632,7,RSA-5,19134,0.5,112.84765625,51.2328105637244
4,1629 S TANEY ST,BHATTI SARWAT A,,VAC LAND RES < ACRE,364283000,564768,2,RSA-5,19145,1,103.7890625,47.9102837141555
5,2434 N BROAD ST,ELEBAH INC               ,,VAC LAND COMM. < ACRE,885151680,50430,5,CMX-2.5,19132,0.5,299.125,99.0255937014823
6,1527 N 25TH ST,PHILA HOUSING AUTHORITY  ,,VAC LAND RES < ACRE,291328600,677846,5,CMX-2,19121,1,134.73828125,57.4665376222564
7,4527 N MARVINE ST,PHILADELHIA LAND INVESTME,,VAC LAND RES < ACRE,491417300,416989,8,RSA-5,19140,0.5,204.78125,77.2893194707529
8,172 E CHELTEN AVE,MESSA JOSEPH L SR        ,MESSA VIRGINIA           ,VAC LAND COMM. < ACRE,885838340,77574,8,CMX-2.5,19144,0.67,840.8515625,165.709498470912
9,313 N ROBINSON ST,ALPHONSE P CRUZ,,VAC LAND RES < ACRE,341173100,511839,4,RSA-5,19139,0.67,159.484375,64.3741615993473
10,2531 N NAPA ST,BID PROPERTIES LLC       ,,VAC LAND RES < ACRE,282152000,445858,5,RSA-5,19132,0.5,111.7578125,51.0673776097805
11,2252 N SYDENHAM ST,BOYKIN ROBERT,,VAC LAND RES < ACRE,161051300,560019,5,RSA-5,19132,0.5,93.19140625,44.535442665327
12,1515 N 19TH ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,VAC LAND RES < ACRE,471326010,667844,5,RM-1,19121,0.5,331.91015625,95.7979968919587
13,2825 N BAMBREY ST,ALLEGHENY WEST           ,FOUNDATION               ,VAC LAND RES < ACRE,381108200,28567,4,RSA-5,19132,0.67,105.18359375,48.7262441936796
14,1105 S 6TH ST,1105 AS LLC              ,,S/D OFF/STR 4STY BRICK,871502655,641463,1,RSA-5,19147,0.67,90.78125,50.3664366570125
15,4491 E THOMPSON ST,DYMOWSKI JOSEPH M,DYMOWSKI CINDI ANN,VAC LAND RES < ACRE,453236100,569862,6,RSA-5,19137,0.67,305.96484375,91.6136901016253
16,2245 N ORKNEY ST,VJ ASSETS LLC            ,,VAC LAND RES < ACRE,191275200,462412,7,RSA-5,19133,0.5,74.234375,39.9785484285277
17,1633 N 27TH ST,GOLDEN STAR BAPTIST CHURC,,VAC LAND RES < ACRE,324128600,679677,5,RSA-5,19121,0.67,174.09375,79.6612042516281
18,2940 N TANEY ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,381197605,564576,4,RSA-5,19132,0.83,122.8828125,51.8803392034369
19,5125 WARREN ST,BUNCH KEVIN SR,,VAC LAND RES < ACRE,442182400,599132,3,RM-1,19131,0.5,237.53125,85.6890047415167
20,3426 N PHILIP ST,MOLINA NICOLASA CORTES   ,,VAC LAND RES < ACRE,193034100,482311,7,RM-1,19140,0.67,83.296875,42.3714987226518
21,2047 N 5TH ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,183416701,636588,7,RSA-5,19122,0.67,104.33984375,53.5401848687997
22,21 RIVER RD,FEIGEL HARRY J JR        ,,VAC LAND RES < ACRE,212416630,510835,4,RMX-1,19128,0.5,990.76171875,189.404527683744
23,1422 N 25TH ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,291334900,677814,5,RSA-5,19121,1,116.40234375,49.2514458484472
24,5003 BARTON ST,COMMONWEALTH OF PENNSYLVA,DEPARTMENT OF TRANSPORTAT,VAC LAND RES < ACRE,412046300,31050,6,CMX-2,19135,0.5,235.78515625,74.9271525645515
25,663 N 41ST ST,JONES VIRGINIA           ,,VAC LAND RES < ACRE,061217410,686554,3,RM-1,19104,0.67,63.1640625,42.2169307005241
26,3526 N MARVINE ST,LOUIE LLC                ,,VAC LAND RES < ACRE,432151300,416898,5,RM-1,19140,0.5,209.65234375,82.9638297754899
27,5737 COMMERCE ST,FREDERICK R JONES,GOLDEN,VAC LAND RES < ACRE,042013500,95177,4,RSA-5,19139,0.67,146.7578125,61.7331246082682
28,423 E WISTER ST,COMMUNITY JUSTICE LAND TR,,VAC LAND RES < ACRE,121052510,619800,8,RSA-2,19144,0.67,3312.4765625,306.166615671431
29,618 W HUNTINGDON ST,CITY OF PHILA            ,,VAC LAND RES < ACRE,371409801,731905,5,RM-1,19133,0.5,130.6328125,57.0271297735066
30,4993 W GIRARD AVE,CITY OF PHILADELPHIA     ,,VAC LAND RES < ACRE,442085000,314601,3,CMX-2,19131,1,195.59375,73.9291265736478
31,2715 W ALBERT ST,CITY OF PHILADELPHIA,,VAC LAND RES < ACRE,281332500,5957,5,RSA-5,19132,0.5,107.796875,49.8788406654383
32,2444 N 2ND ST,NORRIS SQUARE CIVIC ASSOC,,VAC LAND COMM. < ACRE,885216840,732650,7,CMX-2,19133,0.5,193.73828125,70.5912326732291
33,2414 AMBER ST,LIHOLTZ ROBERT           ,,VAC LAND RES < ACRE,311126900,13881,1,RSA-5,19125,0.67,129.28515625,64.3669868854591
34,4947 OLIVE ST,CITY OF PHILADELPHIA,,VAC LAND RES < ACRE,441241400,458741,3,RSA-5,19139,0.67,151.13671875,62.2064119213405
35,6010 REINHARD ST,MOORE BERTHA L           ,,VAC LAND RES < ACRE,401279100,500436,2,RSA-5,19142,1,148.55078125,60.5274571957409
36,1241 W SERGEANT ST,SIMMS HENRY BENJAMIN     ,CHARLOTT                 ,VAC LAND RES < ACRE,371403400,530516,5,RM-1,19133,0.5,102.50390625,48.0698868970658
37,924 S CECIL ST,JERNIGAN IESHA           ,,VAC LAND RES < ACRE,463279800,71163,3,RSA-5,19143,0.67,142.2578125,58.7488387857016
38,607 N 53RD ST,CITY OF PHILA            ,DEPT PUB PROP            ,VAC LAND RES < ACRE,442316720,692713,3,RSA-5,19131,0.67,1208.48828125,143.702226623511
39,5001 KERSHAW ST,BERNICE BELLOCCHIO,,VAC LAND RES < ACRE,442145700,370055,3,CMX-2,19131,0.5,146.3046875,61.4259500924667
40,2336 N 21ST ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,162186201,672323,5,RSA-5,19132,1,177.08203125,66.8743176206362
